date,year,month,NDVI,GPP,EVI,LAI,NDVI_smoothed,GPP_smoothed,EVI_smoothed,LAI_smoothed
2006-03-01,2006.0,3.0,0.2097395082720588,3.2374987671367996e-05,0.0874321645220588,0.3704443571872646,0.1999655641631631,3.237498767136802e-05,0.07629126860118886,0.2531592552599643
2006-04-01,2006.0,4.0,0.2083159420955883,3.2374987671367996e-05,0.0976108180147059,0.397037618751568,0.30110505733543164,3.237498767136802e-05,0.1446364066876732,0.5110223996451426
2006-05-01,2006.0,5.0,0.4573969806985293,3.2374987671367996e-05,0.2269974080882352,0.7558366872811749,0.45174407716211223,3.237498767136802e-05,0.2539832976628134,1.0955884094418387
2006-06-01,2006.0,6.0,0.6910315900735291,3.2374987671367996e-05,0.4231264797794117,2.020503255783515,0.6303343156950263,3.237498767136802e-05,0.3729851201418057,1.8628304281366945
2006-07-01,2006.0,7.0,0.7195623575367645,3.2374987671367996e-05,0.4477104136029408,2.5871944635319526,0.7379820868347337,3.237498767136802e-05,0.43652969253326324,2.3988778882516
2006-08-01,2006.0,8.0,0.7335626378676469,3.2374987671367996e-05,0.4101381571691174,2.5211617748110338,0.6782437447479008,3.237498767136802e-05,0.38637172465861436,2.284147512936661
2006-09-01,2006.0,9.0,0.5340566268382354,3.2374987671367996e-05,0.2629136810661762,1.5479900854029642,0.5339152356880282,3.237498767136802e-05,0.2694967975315145,1.589981356568685
2006-10-01,2006.0,10.0,0.322303492647059,3.2374987671367996e-05,0.1204744025735294,0.5506604277783228,0.3840481444765437,3.237498767136802e-05,0.16303668132878352,0.8555554906320717
2006-11-01,2006.0,11.0,0.2693725091911764,3.2374987671367996e-05,0.098856640625,0.3469798108700629,0.2646432543329861,3.237498767136802e-05,0.092883995535716,0.3608928902538517
2006-12-01,2006.0,12.0,0.2230573207720587,3.2374987671367996e-05,0.0790432904411764,0.3193858185268807,0.21794382002801285,3.237498767136802e-05,0.07194959843312411,0.23024053376463874
2007-01-01,2007.0,1.0,0.2212116957720588,3.2374987671367996e-05,0.0811479779411765,0.3025154608815157,0.20577434501925806,3.237498767136802e-05,0.07472241749824933,0.27874792958968925
2007-02-01,2007.0,2.0,0.1994718979779412,3.2374987671367996e-05,0.0752236994485294,0.2897892739111939,0.18710834077380853,3.237498767136802e-05,0.06551481026785626,0.2531364281585116
2007-03-01,2007.0,3.0,0.2126495863970589,3.2374987671367996e-05,0.0918280606617647,0.3614950427014821,0.23212577052695885,3.237498767136802e-05,0.10084014093137111,0.3252437747455824
2007-04-01,2007.0,4.0,0.2819276194852941,3.2374987671367996e-05,0.1277861580882353,0.4715279822867924,0.33275491662289663,3.237498767136802e-05,0.17352193999474622,0.6725916888575068
2007-05-01,2007.0,5.0,0.5232028124999999,3.2374987671367996e-05,0.305693088235294,1.1877523641242094,0.49145388961834496,3.237498767136802e-05,0.272725493916315,1.2544919918165114
